City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,yeniseysk,58.4497,92.1703,21.47,75,87,0.81,RU,1722913217
274,sibiti,-3.6819,13.3499,17.26,88,56,1.1,CG,1722913218
275,ypsilanti,42.2412,-83.613,23.81,91,22,2.54,US,1722913219
276,nuku'alofa,-21.1333,-175.2,24.19,64,20,4.12,TO,1722913199
277,mar del plata,-38.0023,-57.5575,12.01,92,100,6.71,AR,1722913032
278,bayganin,48.6947,55.8742,27.91,27,1,3.24,KZ,1722913223
279,harper,4.375,-7.7169,23.83,86,89,3.14,LR,1722913224
280,chervonohrad,50.391,24.2351,13.99,97,100,2.64,UA,1722913225
281,prado,-17.3411,-39.2208,21.83,80,38,2.48,BR,1722913226
282,santa marta de ortigueira,43.6833,-7.85,20.7,88,91,3.0,ES,1722913227
283,vallenar,-28.5708,-70.7581,10.22,52,52,1.05,CL,1722913228
284,urengoy,65.9667,78.3667,12.01,56,73,8.29,RU,1722913229
285,morehead,37.2711,-87.1764,24.36,95,0,0.0,US,1722913231
286,nyurba,63.2842,118.3319,16.64,68,99,3.14,RU,1722913194
287,le port,-20.9373,55.2919,19.0,74,22,1.83,RE,1722913233
288,laguna,38.421,-121.4238,32.05,40,0,3.09,US,1722913136
289,port saint john's,-31.6229,29.5448,12.34,79,1,2.8,ZA,1722913235
290,cockburn town,21.4612,-71.1419,28.35,84,1,7.7,TC,1722913236
291,fortaleza,-3.7227,-38.5247,26.79,78,20,5.66,BR,1722912719
292,port mathurin,-19.6833,63.4167,22.28,76,19,4.15,MU,1722913238
293,sambava,-14.2667,50.1667,19.1,89,10,2.79,MG,1722913239
294,aykhal,66.0,111.5,12.02,60,70,9.23,RU,1722912953
295,mount gambier,-37.8333,140.7667,14.18,71,26,5.52,AU,1722913211
296,solleftea,63.1667,17.2667,14.92,97,1,0.57,SE,1722913242
297,badger,64.8,-147.5333,31.14,28,20,4.12,US,1722913081
298,gemena,3.25,19.7667,20.33,97,100,0.31,CD,1722913244
299,port moresby,-9.4431,147.1797,29.68,58,40,5.14,PG,1722913245
300,al ghayzah,16.2079,52.176,24.77,89,71,1.08,YE,1722913246
301,burgas,42.5061,27.4678,19.06,98,75,4.12,BG,1722913247
302,fiambala,-27.6871,-67.6149,12.93,16,0,1.43,AR,1722913249
303,puntarenas,9.9763,-84.8384,26.36,82,100,2.04,CR,1722913167
304,erdenet,49.0333,104.0833,18.62,70,7,2.69,MN,1722913251
305,nikel,69.4128,30.222,10.1,66,46,1.06,RU,1722913252
306,fada,7.25,4.0667,22.38,91,100,1.47,NG,1722913253
307,porto novo,6.4965,2.6036,24.9,84,100,4.23,BJ,1722912955
308,floro,61.5996,5.0328,16.04,94,100,5.66,NO,1722913255
309,christchurch,-43.5333,172.6333,15.38,50,0,10.28,NZ,1722912792
310,portland,45.5234,-122.6762,27.42,46,0,2.24,US,1722912834
311,ust'-ilimsk,58.0006,102.6619,25.07,37,20,1.12,RU,1722913258
312,awjilah,29.1081,21.2869,29.2,29,0,2.6,LY,1722912982
313,verkhnevilyuysk,63.4453,120.3167,21.69,57,96,3.87,RU,1722913260
314,madikeri,12.4167,75.7333,19.34,99,100,1.08,IN,1722913262
315,susuman,62.7833,148.1667,17.41,40,100,7.93,RU,1722912921
316,west island,-12.1568,96.8225,27.99,61,75,5.66,CC,1722913110
317,palikir - national government center,6.9248,158.1611,28.59,72,11,4.42,FM,1722913266
318,ocampo,21.65,-101.5,15.56,65,1,4.65,MX,1722913267
319,constantia,44.1833,28.65,20.39,63,91,3.52,RO,1722913239
320,morganton,35.7454,-81.6848,25.23,90,0,0.0,US,1722913269
321,ujae,8.9322,165.7642,28.61,74,80,2.42,MH,1722913271
322,saudarkrokur,65.7461,-19.6394,10.19,86,46,2.4,IS,1722913272
323,nema,57.5067,50.5011,15.87,91,34,1.29,RU,1722913273
324,aoulef,26.9667,1.0833,34.64,15,12,8.07,DZ,1722913274
325,tommot,58.9564,126.2925,12.64,97,100,2.87,RU,1722913275
326,along,28.1667,94.7667,26.37,77,86,0.27,IN,1722913278
327,mormugao,15.4,73.8,26.59,83,40,3.6,IN,1722913279
328,giyani,-23.3025,30.7187,14.19,90,56,1.42,ZA,1722913280
329,trnava,48.3774,17.5872,13.88,82,0,3.02,SK,1722913281
330,chonchi,-42.6128,-73.8092,5.62,96,100,1.9,CL,1722913030
331,dosso,13.049,3.1937,24.92,86,100,5.0,NE,1722913283
332,pingliang,35.5392,106.6861,25.91,67,50,4.43,CN,1722913284
